player,season,win_shares,bpm,vorp,gp
LeBron James,2025-26,0.9,3.1,0.5,12
Nikola Jokic,2025-26,7.8,15.9,4.6,29
Jalen Brunson,2025-26,3.8,4.0,1.4,26
